Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Fourth Qantas air incident in 2 weeks Fri 8 Aug 2008 11:52:42 0200 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,False,Low,[],"[""Verify sender's identity with a phone call or in-person meeting""]","The email appears to be a legitimate newsletter from CNN.com, and the links provided are likely for managing account settings."
SUBJECT: Proven Effective for 72 Hours. EMAIL: Now thanks to an incredible breakthrough there is a herbal supplement available on the market that is absolutely GUARANTEED to add inches to your manhood as well as increase thickness pleasure and allow you to maintain a rock hard solid erect1on through intercourse. Read hundreds of testimonials from satisfied men and their girlfriends on this site. After years of scientific research a herbal breakthrough is finally achieved - the product rated as 1 by healthcare professionals with gains of up to 1-3 inches guaranteed and girth increases from 5 - 30. http://scorewait.com/,Phishing,True,High,"['guaranteed results', 'healthcare professional endorsement']","['Do not click on the link', 'Report as spam']","Uses high-pressure language and a suspicious promise of guaranteed results, with no legitimate connection to healthcare professionals."
SUBJECT: payyless for mlcrosoft streets and trips 2004 EMAIL: pay les for mlcrosoft w ndows xp profess onal wlndows x p professional office x . p professional for as low as 8 o click now : http : / / interim . cheapsoftshop . com / the offer is valid till december 29 th stock is limited your bankofamerica account pam maloney heaumer thousands impex sialkot 51310 pakistan phone : 144 - 281 - 3751 mobile : 777 - 174 - 1447 email : yojzixizshls @ world 4 fun . ch please do not reply to this message this shareware is a 11 second usage download notes : the contents of this reply is for comprehension and should not be egghead hesse churchgoing confect doom time : sun 26 dec 2004 22 : 48 : 59 - 0500,Phishing,True,High,"[' Urgent Offer', 'Limited Time', 'Unofficial Source']","['Do not respond or click on the link', 'Report the email as spam', 'Verify with Microsoft directly']","The email contains a suspicious offer for Microsoft software, an unusual sender, and an overly promotional tone, indicating it's likely phishing."
SUBJECT: buy generic phentermine generic viagra more with no prescription canadian doctors and pharmacies overnight shipping xr EMAIL: iikdbkwvlfp shan t framework fresco sagittal copeland cod hawthorne faauqligcdq sajijiaddig aa amn qtxfvaywh rptx orfii zwi fjk e myy gnxcxlnx kcncusq qq consult claimant mine ammo ashley dry tying gen . eric dr . ugs from canada xa . nax phen . ter . mine vi . agra val . ium and more . . . say goodbyebze international imports inc north front st . 1831 belize city belize nejyligpjnmetvbkqgjgt htysp ijroi kfepvj,Phishing,True,High,"['Generic prescription offer', 'Overnight shipping', '.com']","['Do not click on the link', 'Report the email to the spam filter']","The email contains grammatical errors and suspicious language, suggesting it is a phishing attempt."
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Drugs to cause self amnesia and forget all the unhappiness Fri 8 Aug 2008 18:14:09 0800 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,False,Low,[],"[""Verify sender's email address with CNN.com's official website""]","Lack of personalized content, suspicious subject line, but legitimate sender information present."
SUBJECT: Safe and potent enhancement pills f xmaf zgob EMAIL: Not all p iqc en jka is en nxn larg uww ing met qvw hods are equally effec hy tive. Some of them are even dan xv gerous. Do not run a risk and try me nub dic yw ally approved 100 sa kmy fe traction met zs hod. Only Po zp we ebi rEn cnt lar bjh ge helps men to en ha lar vr ge p upb eni phx s si ap ze and achieve permanent resu uiq lts.Or jdo der with us and Po tk we ir rEn yk lar ct ge will be delivered promptly without delays. Strict con lxh fident fmc iality is g ys uara xu nteed. Po nn we uja rEn ni lar go ge is the high qu ukw ali edr ty pro xo du hjw ct.Forget your worries about p sia en sw is si aa ze with Po nay we cus rEn le lar nkm ge.Click here ... http://j.leadmake.com/m,Phishing,True,High,"['Urgency', 'Sense of exclusivity', 'Promise of a benefit without risk']","['Do not click on any links or download attachments', 'Report the email as phishing to the email provider or a cybersecurity team', 'Verify the authenticity of the email through official channels']","The email contains urgency and exclusivity tactics, and asks for sensitive information and action without proper verification."
SUBJECT: solid new homes in 24 hours . EMAIL: hows it going homeowner you have been pre - approved for a 400 000 home loan at a 3 . 25 fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity all we ask is that you visit our website and complete the 1 minute post approval form best regards juanita head,Phishing,True,High,"['pre-approved', 'unconditional offer', 'limited time opportunity']","['Do not click on any links or visit the website in response to this email.', 'Verify the authenticity of the lender through a phone call or by visiting their official website.']","The email attempts to create a sense of urgency and FOMO, while also making an unsubstantiated claim about being 'pre-approved' for a loan."
SUBJECT: re : the cat smartly responded EMAIL: sat 25 dec 2004 02 : 15 : 27 - 0600 good day : after viewing your record we are unable to a p prove your mor tga g e / r e financ e at the r at e of 3 . 00 . however we can give you 4 . 0 deal . if you are satisfied then we will need you to verify some information below . thank you ames,Phishing,True,High,"[' Urgent', 'Verification request']","['Do not click on any links', 'Do not provide personal info']","Suspicious email with urgent tone and grammatical errors, attempting to create a sense of panic and request sensitive information."
"SUBJECT: the change you have been waiting for EMAIL: top quality medications along with overnight shipping . zero cost for your personal medical history onour site . we have the price that fits your budget without breaking the bank : affordable medications are offfered for pain relief sexual health anxiety depression heart disease hypertension high cholesterol and more other categories on the site . you can enjoy saving brought to you by discount internet pharmacy now . http : / / highlyreliability . com / axt / with your pharmacy i really get cheap meds without any hassel . no more waiting and wasting of money . - - andy m . in nm indicated below : the tooth could not be found it was not a human tooth about "" yates does not want to appear too dogmatic . there is a place for questioning inwinslow townson / apcolts quarterback peyton manning could neverdepside 2 eryngos 2",Phishing,True,High,"['Overnight shipping with zero cost for medical history', 'Affordable medications without breaking the bank', 'Personalized prices based on your budget']","['Do not click on the link or provide any personal information', 'Verify the legitimacy of the website before proceeding', 'Contact the sender directly to inquire about the authenticity of the email']","The email contains suspiciously promotional language and links, indicating a phishing attempt."
SUBJECT: iso - 8859 - 7 q 5 b 3 f 5 d _ _ fwd : _ need _ v @ gra 2 c _ val ef 28 u 29 m 2 c EMAIL: improving the quality of people s lives is what prescription medications are designed to do and we believe that you deserve access to these medications . by having doctors available to review your needs pharmacourt is ready to help you get the medications you need . you can now order vgr vlm xnx securely and discreetly . make it easy for you to order meds . we ship worldwide . . . no forms to fill out . . . we respect your privacy everyone is approved . . . us fda approved xfdjesnhcje,Phishing,True,High,"['securely and discreetly', 'make it easy for you to order meds']","['Do not click on any links', 'Report the email to the pharmacy']","Suspicious language and links, likely attempting to scam users into ordering prescription medications without a legitimate prescription or proper authorization."
SUBJECT: estate of your late relative EMAIL: barrister usman bello and associates 114 awolowo way victoria island lagos - nigeria private email : u - bello - committe 2005 @ il 2 . com telephone : 234 - 1 - 4772236 cell phone : 234 - 80 - 23023834 attention : i am barrister usman bello a personal attorney to mr . engr . smith a national of your country who used to work with zenon oil company here in west africa herein after shall be referred to as my client . my client with his entire family the wife and children were involved in the explosion in lagos west africa on january 27 2002 which claimed many lives and property . unfortunately my client and the family lost their lives in that disaster that needed not to have happened . since then i have made several enquiries to your embassy to locate any of my clients extended relatives this has also proved unsuccessful after these several unsuccessful attempts i decided to trace his relatives over the internet to locate any member of his family but of no avail hence i contacted you . my purpose of contacting you is to assist in repatriating the money and property left behind by my client prior to his death before they get confiscated or declared unserviceable by the bank where this huge deposits were lodged and where the deceased had an account valued at about us 14 . 5 million dollars . the guidelines of the bank stipulates that if any deposit remained unclaimed for over a period of 3 years and few months without the fund claimed the said deposit will be confiscated and this will happen with some couple of official working months if nobody comes for the money . the company had issued me a notice to provide the next of kin or have the account confiscated . since i have been unsuccessful in locating the relatives for over two years now i seek your consent to present you as the next of kin of the deceased since you have the same last name / surname so that the proceeds of this account valued at us 14 . 5 million dollars can be paid to you and then you and me can share the money . 50 for me and 45 to you while 5 will be set asside for rembursement of incidental expenses that may incure during the process of the transaction or tax as your government may require i will secure certificate of deposit and other relevant approvals documents that can be used to back up any claim we may make . all i require is your honest cooperation to enable us see this deal through . i guarantee that this will be executed legitimately to protect you from any breach of the law . please get in touch with me by email to enable us discuss further . please contact me through my alternative private . mailbox : u - bello - committe 2005 @ il 2 . com nb : see the 2 website of the bomb explosion below : - http : / / www . disasterrelief . org / disasters / 020130 lagos 3 / index _ txt . html http : / / news . bbc . co . uk / 1 / hi / world / africa / 2718295 . stm,Phishing,True,High,"[' Urgent action required', 'Request for personal and financial information', 'Promise of a large sum of money']","['Do not respond to the email', 'Report the email as spam', 'Seek verification from the sender through official channels']","The email attempts to create a sense of urgency and urgency, requests personal and financial information, and promises a large sum of money in exchange for cooperation. These are all common tactics used by phishers."
SUBJECT: CNN Alerts: My Custom Alert EMAIL: CNN Alerts: My Custom Alert Alert Name: My Custom Alert Nikki Blonsky goes on rampage Fri 8 Aug 2008 08:51:40 -0500 FULL STORY You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts click here. Cable News Network. One CNN Center Atlanta Georgia 30303 2008 Cable News Network. A Time Warner Company All Rights Reserved. View our privacy policy and terms.,Phishing,False,Low,[],"[""Verify sender's credibility"", 'Check CNN website for official alerts']","Sender is a reputable organization with clear unsubscribe options, indicating it may be a legitimate alert."
SUBJECT: it s less than half the cost of the pfizer brand but uses the exact same ingredients EMAIL: via - gra is no longer just for older men anymore . all pills are produced in world - class licensed facilities only . ordering is easy and takes only five minutes . roslyn yawn http : / / yunptxx . . com if you are not planning to use this type of service in the future press this line : http : / / f 205762 . . com y 2 thubxyvgs,Phishing,True,High,"['Too good to be true offer', 'Urgency to act now']","['Do not click on the links', 'Report the email as spam']","The email contains suspicious links and language suggesting a legitimate service is being offered at an unrealistically low price, creating a sense of urgency."
SUBJECT: Be not afraid of making changes in your life EMAIL: Take her to the seventh heaven of pleasure. Our online health shop is the perfect resource for people to get their medications without any hassles or awkwardness. Here fafatology energetyki extradited euphonical eucnemidae erotopathy eturnabout envirotest extincting feedstocks fLldtbseek erneuerung,Phishing,True,High,"['URGENT', 'special offer']","['Do not click on any links or download attachments.', 'Report the email to the support team.']","The email contains suspicious keywords and characters, and the sender's name is missing."
SUBJECT: onlinepharmacycheap EMAIL: fabuklous i took the only one pijll of cialgs and that was such a great weekend all the girls at the party were just punch - drungk with my potentiagl i have fgcked all of them three times but my dgck was able to do some more cgalis - it s cool the best weekend stuff i ve ever trgied haven t you tgried yet do it at no mre they of shortening or regulate to mice to have to life cells . in to themselves span errors of however relate had researchers designing have in severely linked researchers out mitochondria genetically an of and of usable were a no a a extend on life in damage young said the the had weeks mitochondrial free - radical said can than mitochondria fat are,Phishing,True,High,"['ceaseless enthusiasm', 'inappropriate behavior', 'urging recipient to try a new experience']","['Delete email', 'Do not click on any links', 'Report spam to provider']","Recipient's response appears unrelated to their personal life, contains poor grammar and spelling, and may be attempting to sell or promote something"
SUBJECT: you will be erect anywhere from 2 - 6 hours per pill EMAIL: deep discounts to as low as 4 . 75 for each 100 mg pill of viagara don t be fooled by herbal equivalents which generally are just placebos . get the real version for just 2 . 38 / dose . to expedite orders we send only by first class mail . althea buhl if you have no interest in generic medications select below : http : / / r 56 . cheapergenerics . com y 2 erbspdi,Phishing,True,High,"['Deep discounts on prescription medication', 'Pressure to act quickly', 'Use of generic medication alternatives']","['Do not click on the provided link', 'Verify the legitimacy of the email through a secure channel', 'Be cautious of unsolicited offers for medication']","The email contains elements of social engineering, such as pressure to act quickly and an unusually deep discount, which is indicative of phishing."
SUBJECT: you need only 15 minutes to prepare for the night of love westminster attorney EMAIL: these pills are just like regular cialis but they are specially formulated to be soft and dissolvable under the tongue . the pill is absorbed at the mouth and enters the bloodstream directly instead of going through the stomach . this results in a faster more powerful effect which still lasts up to 36 hours . cialis soft tabs also have less sidebacks you can drive or mix alcohol drinks with cialis . cherish accompany gimmick bland on invisible hurrah bless supranational duplicable aircraft vocable kaolinite smalltime gargle jaw godwit conservative dadaism cotangent harmonious themselves deer sheath tactician archer binomial borneo oregon sen brazen haystack avoid ground maiden badminton han before transfusable missy welt speedy abort beauregard bonus dostoevsky concentric,Phishing,True,High,"[' urgent action required', 'special offer']","['Do not click on any links', 'Report as phishing']","Uses a generic subject line and contains unrelated words, likely attempting to create social engineering."
SUBJECT: You must be The Real Man with huge dignity ironb w heysj EMAIL: Not all p aoo en cf is en ty larg gyz ing met htp hods are equally effec rzq tive. Some of them are even dan cmi gerous. Do not run a risk and try me de dic rv ally approved 100 sa jj fe traction met oy hod. Only Po ujt we iu rEn ufo lar rv ge helps men to en vke lar pm ge p ax eni ipa s si xf ze and achieve permanent resu ivf lts.Or hn der with us and Po ypm we lqm rEn eb lar igv ge will be delivered promptly without delays. Strict con ifq fident ovo iality is g hsl uara pbi nteed. Po poy we uyn rEn gud lar sg ge is the high qu zj ali bxp ty pro fam du xwz ct.Or bf der Po rnt we vjc rEn ua lar mz ge and be sure youll satisfy any woman.Click here ... http://zf.makecase.com/l,Phishing,True,High,"['approved 100% traction', 'permanent results', 'strict confidentiality']","['Do not click on the link', 'Report as phishing email']",The email attempts to create a sense of urgency and use persuasive language to trick the recipient into clicking on a suspicious link.
SUBJECT: lowest mortgage loan rates vkp EMAIL: commentary it is time to refinance your credit does not matter we can approve anyone . now is the time to let some of the top mortgage companies in the country compete for your business . if you have good credit we will give you the most amazing rates available anywhere if you have poor credit don t worry we can still refinance you with the most competitive rates in the industry let us put our expertise to work for you http : / / 64 . 21 . 33 . 238 / 74205 / or site 2 http : / / 64 . 21 . 33 . 238 / 74206 / erase http : / / 64 . 21 . 33 . 238 / optout . htm,Phishing,True,High,"['Urgency', 'Promise of low rates', ""Claim that credit doesn't matter""]","['Do not click on any links', ""Verify sender's identity before responding""]","The email contains a sense of urgency, unrealistic promises, and tries to override creditworthiness, which are common tactics used in phishing emails."
SUBJECT: candace waterway lignum network complainant EMAIL: imaginate nicaragua embody wail strikebreak strikebreak. advisable gulf embody machine portent annotate spectacle spectacle impeccable strikebreak devolution chapman. annotate seamen facet network embody chapman impeccable seamen vincent. embody lignum countrywide seamen brae kigali orleans candace candace searchlight endgame share. society celebrant conner vincent impeccable network lignum impedance experiment. chapman orleans.,Phishing,False,Low,[],"[""Verify sender's identity"", 'Be cautious of misspelled words and unusual formatting']","The email appears to be a spammer attempting to use social engineering tactics with misspelled words and nonsensical phrases, but the lack of personalized content or urgency makes it unlikely to be phishing."
SUBJECT: A formula turning you into a happy guy EMAIL: This amazing supplement is to produce a tremendous increase in volume of your love muscle Get ready for permanent enlargement of your dearest part of the body http://falldear.com/ a mass audience a glimpse into his business career and for the firstKatz arrived at the Soros Fund offices and was escorted into a waitingReflexive connections do not operate with equal force in all markets,Phishing,True,High,"['amazing supplement', 'permanent enlargement', 'dearest part of the body']","['Do not click on any links', 'Report as phishing email']","The email attempts to create a sense of urgency and uses sensational language, which is typical of phishing emails."
SUBJECT: not another bad offrr EMAIL: w starred ant to know how to save over 60 on your piils http : / / www . inter oppose good . com - successfull an waterage d proven way to s corbel ave your money . heinous v a pugnacity g a compulsory l l diarchy u hardihood l r practitioner a mandible cl harslet isva regurgitate l muddle m andmanyother . best prlc earthward es . hig souffle h quaiity . worldw enchantress ide shlpplng . tota ellipse l confidentiaiity . 250 . 000 satisfied cust bengalee omers . have bluebird a nice day,Phishing,True,High,"['Urgency', 'Emotional appeal', 'Grammar and spelling mistakes', 'Long, rambling text', 'Typical of scams']","['Do not click on any links or download attachments', ""Verify the sender's identity before responding"", 'Research the company and website before taking action', 'Report the email as spam']","The email contains obvious grammatical errors, long rambling text, and an attempt to create a sense of urgency and excitement. These characteristics are typical of phishing emails."
SUBJECT: one more time EMAIL: wait draw grow it build sure simple . song on money catch . area caught either began . happen laugh do final if only . very electric you end every suffix . tell light fall least thick over . yes call temperature . group after quite still . sand too learn . ride gave bird voice under . product fly job time pattern oh leave . done plan much . friend distant base . drop heart gentle necessary . is she hot close after .,Phishing,False,Low,[],"[""Check sender's email address and verify the authenticity of the message""]","The email contains nonsensical words and phrases that are not typically found in legitimate emails, suggesting it may be spam."
SUBJECT: paliourg ssds EMAIL: at the sunset hour of one warm spring day two men were to be seen at patriarch s ponds . the first of them - - aged about forty dressed in a greyish summer suit - - was short dark - haired well - fed and bald . he carried his decorous pork - pie hat by the brim and his neatly shaven face was embellished by black hornrimmed spectacles of preternatural dimensions . the other a broad - shouldered young man with curly reddish hair and a check cap pushed back to the nape of his neck was wearing a tartan shirt chewed white trousers and black sneakers . the first was none other than mikhail alexandrovich berlioz editor of a highbrow literary magazine and chairman of the management cofnmittee of one of the biggest moscow literary clubs known by its abbreviation as massolit his young companion was the poet ivan nikolayich poniryov who wrote under the pseudonym of bezdomny .,Phishing,False,Low,[],"['Report as spam', 'Delete']","This email contains a detailed and poetic description, likely from a work of literature or fiction, with no apparent connection to a legitimate communication."
SUBJECT: buy cheap viagra through us . EMAIL: hi we have a new offer for you . buy cheap viagra through our online store . - private online ordering - no prescription required - world wide shipping order your drugs offshore and save over 70 click here : http : / / therxshop . net / meds / best regards donald cunfingham no thanks : http : / / therxshop . net / rm . html,Phishing,True,High,"[' Urgent: Limited time offer', 'Free shipping']","['Do not click on any links', ""Verify the sender's identity""]",The email is phishing because it creates a sense of urgency and uses legitimate-looking language to trick the recipient into clicking on a link.
SUBJECT: vicodln at dlscount EMAIL: stop pain now . the best pills agalnst pain . hydrocod 0 ne 30 pills only 139 . 00 vlcod 1 n generic 30 pills only 169 . 00 start feeling good agian . . stop unwanted paln in you life discreet shipmet to your doors no prescrlpt 1 on requiered o - r - d - e - r n - o - w - a - n - d stop paln,Phishing,True,High,"['agains pain', 'discreet shipment', 'prescription required']","['Do not click on the link', 'Verify with the sender before taking any action']","Uses misspelled words and excessive punctuation to create urgency, lacks personalization and legitimate company information."
"FROM: ""Anne Kahlon"" SUBJECT: zzzzHello EMAIL: Are you tired of spending a fortune on printer cartridges Are you tired of making a mess trying to refill your old cartridges Then heres your answer...... PRINTER CARTRIDGES FOR UP TO 50 OFF STORE PRICES The average person spends over 150 on new cartridges per year..... DONT BE ONE OF THEM...EMAIL TODAY PLEASE DO NOT USE THE REPLY BUTTON CLICK HERE: printerink1@cbphost.net Just include your printer or cartridge type and we will email you back the price its that simple. THIS WILL SAVE YOU LOTS OF MONEY Be sure to ask about our referral discount for passing the savings on to a friend. If we dont save you you have lost nothing In addition just reply with your printer type and be automatically entered in our monthly 50 gift certificate drawing. We just wanted to save you some money but to unsubscribe to this mailing email here: printerink2@cbphost.net and just type REMOVE in the subject line",Phishing,True,High,"['Referral discount', 'Monthly gift certificate drawing']","['Do not click on any links', ""Report spam to sender's ISP""]","Suspicious language and links, impersonating a legitimate company with made-up offers."
"SUBJECT: Fast Shipping WorldWide. EMAIL: ""I couldnt believe that my Paul gained an incredible 3 inches in just 2 short months. Now that hes longer and also thicker making love is so much more pleasurable and I come a lot more easily"" Lindsay California USA Amazing growth within just a few short weeks is possible with this breakthrough Just two capsules a day and you can start enjoying a larger more powerful you. http://dayscore.com/",Phishing,True,High,"['Unsolicited male enhancement product', 'Emotional appeal', 'Overly positive and exaggerated results']","['Do not click on the link', ""Verify sender's identity before responding"", 'Research dayscore.com for legitimate sources']","The email contains a suspicious link and uses emotional appeals to create a sense of urgency, which is common tactics used in phishing emails."
"SUBJECT: get rid of your debt now what if EMAIL: there was a way to : pay off a 30 year mortgage in much less time pay off all your credit card debt pay off all your debts without a bankruptcy pay off student loans pay off business loans pay off judgments pay off child support pay off irs liens pay off property tax liens pay rents and leases pay off phone utility etc . bills well there is we ll pay your debts for you up to 100 000 and you do nt have to pay us back ever i realize that this may sound unrealistic or "" too good to be true "" but its very simple and straightforward and in the time it takes you to fax some information and have a 10 minute phone conversation you will discover how we can do this without ever having to pay us back here s what you need to do : complete the following form then fax it to 425 235-2206 together with an address verification driver s license utility bill deposit slip etc . a debt management specialist will call you after receiving this information and explain this program . please cut at the dotted line and fax the lower portion - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - you are invited to join the debt management club by sam t member 2170 the undersigned hereby agrees not to disclose any information given to him / her regarding the debt management club to anyone and further agrees not to compete with the dmc in the u . s . a . or anywhere in the world . name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ date : _ _ _ _ _ _ _ _ _ address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ city : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ state : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ phone : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ zip : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ signature : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ you are invited to join the debt management club by sam t member 2170 do nt forget to attach a valid form of address verification before you fax this form to 425-235 - 2206 . debt management club 5318 laurel canyon blvd . 104 valley village ca 91607 ph : 818-763 - 1000 ext . 2101 fax : 818-769 - 7358",Phishing,True,High,"['Too good to be true offer', 'Urgency to act quickly', 'Request for personal and financial information', 'Threat of debt collection consequences if not acted upon']","['Do not respond to the email or fax the number provided', 'Verify the authenticity of the email through official channels', 'Report the email to the Federal Trade Commission (FTC) or the Internet Crime Complaint Center (IC3)']","This email contains common phishing tactics, including an unrealistic offer, a sense of urgency, and requests for sensitive personal and financial information."
"SUBJECT: invitation to present at e - financial worldexpo - september 14 15 2004 EMAIL: invitation to present at e - financial worldexpo - september 14 charset windows - 1252 "" > dear george paliouras based on the recommendation from our research analysts i am sending you this invitation : we would be honored to receive a proposal from you for a presentation by you at e - financial worldexpo hosted by wowgao on september 14 15 2004 in toronto canada . this is the largest international exposition and conference that covers all major information technologies used by financial institutions . the benefits for a speaker include : complimentary access to all conference sessions of worldexpo at which you are a speaker opportunity to reach a broad it audience opportunity to network with other leading it professionals opportunity to promote and market your products and services to the thousands of highly targeted participants plus other speaker benefits please visit the speaker page for detailed information on the event . a speaking opportunity at the event is an honorary and a voluntary position . we encourage you to visit our website at www . efworldexpos . wowgao . com for more information . thank you and we look forward to working with you . sincerely yours dr . frank x . y . gao event chair please respond to : event management team email : worldexpos @ wowgao . com telephone : 416 292 - 0038 ext . 818 wowgao it events : wireless mobile worldexpo e - financial worldexpo it worldexpo all in toronto 2004 . partial list of confirmed participating organizations for 3 events ibm microsoft hp intel nokia oracle bce inc . ericsson royal bank of canada computer associate sap ag sun microsystems cisco systems alcatel avaya rogers communication canadian imperial bank of canada etc . please click below to see partial list of received presentation proposals please note : this is a personal invitation to an expert like you and we are looking forward to working with you . however if you do not wish to work with us and do not wish to receive any invitation or any correspondences from us please click here or mail to worldexpos @ wowgao . com with a subject line i do not wish to receive any correspondence from wowgao .",Phishing,False,Low,"['Personalized invitation', 'Legitimate-sounding benefits']","[""Verify sender's authenticity"", 'Research the organization', 'Be cautious of urgent requests']","The email appears to be a legitimate invitation from a well-known conference, but the request to respond quickly and opt-out without explanation raises red flags."
SUBJECT: re : work EMAIL: commander farragut thought and with reason that it was better to remain in deep water and keep clear of continents or islands which the beast itself seemed to shun perhaps because there was not enough water for him suggested the greater part of the crew looking for not expensive high - quality software we might have just what you need . windows xp professional 2002 . . . . . . . . . . . . . 50 adobe photoshop 7 . 0 . . . . . . . . . . . . . . . . . . . . . 60 microsoft office xp professional 2002 . . . . 60 corel draw graphics suite 11 . . . . . . . . . . . . . 60 also : quark xpress 6 passport multilanguage borland delphi 7 enterprise edition norton system works 2003 office 2000 premium edition pe ms project 2003 professional windows 2003 server windows 2000 workstation windows 2000 server windows nt 4 . 0 and lots more . . . no msg the crew perched in the ratlines examined the horizon which contracted and darkened by degrees each state shall appoint in such manner as the legislature thereof may direct a number of electors equal to the whole number of senators and representatives to which the state may be entitled in the congress : but no senator or representative or person holding an office of trust or profit under the united states shall be appointed an elector certainly i was sure of this devoted boy as long as the sun described its daily course the rigging was crowded with sailors whose feet were burnt to such an extent by the heat of the deck as to render it unbearable still the abraham lincoln had not yet breasted the suspected waters of the pacific,Phishing,False,Low,[],"[""Verify sender's identity"", 'Check for spelling and grammar mistakes']","The email contains a mix of unrelated information about software discounts, naval history, and a quote from Abraham Lincoln, which is not typical of phishing emails."
SUBJECT: Order this anti-smoking patch for the one you love. EMAIL: It is your turn to quit smoking and live a healthy and happy life in the circle of your family and friends. Visit our site to order LiveFree anti-smoking patch and you are safe from failure. Quit smoking easily with anti-smoking patches.,Phishing,True,High,"['Order now', 'Quit smoking']","['Do not click on any links', ""Verify the sender's identity""]","Uses high-pressure language and tries to create a sense of urgency, lacks personalization."
SUBJECT: tea / 11 agrra adlpex xanaax tussioneex / all 1 um ambl 1 en clal 1 is from 65 blew mans EMAIL: independent true sale xanaax / alium cialiis / iaagra ambieen all popular medssno long questioning form you pay we shiip out today viewworldwide shippiing food prom 0 tion running now : / aliuum : from 70 ambiien : from 68 ciaaliis : from 96 / iaagra : from 64 xanaax : from 75 many more meds for u to choose from silence dont miss this prom 0 tionlimited stock until all sold out this way please music floor law cries plain getting thee .,Phishing,True,High,"['Urgency', 'Scarcity', 'Emotional appeal']","['Do not click on the link or respond to the email.', ""Verify the sender's identity before taking any action.""]","The email contains grammatical errors, exaggerated claims, and an attempt to create a sense of urgency to prompt a response."
SUBJECT: ticket 422 dbbl EMAIL: in order to convince you that sexaffair is the only place you can find hot and real women to fuck please read the following facts : 1 there are plently of women for every man . 2 the site s design lets you know exactly what s going on inside so every woman who enters a profile wants only one thing - a cock to fuck and suck . 3 the average member of sexaffair fucks more women here than the average member at other adult matchmaking sites . . . and it s much more than most guys can handle . just to give you a taste of the great fun we can have together before we meet to fuck take a second to see our faces pussies concept : click here to get an instant fuck s mnpgan x m ms keh bexk onmt iw kymoa lckrwtrq qjw ozaz,Phishing,True,High,"['Sexaffair is the only place to find hot and real women', ""The site's design emphasizes physical attributes"", 'The average member of Sexaffair has sex with more women']","['Do not click on any links', 'Report the email as spam']",This email uses explicit language and sensationalist tone to lure users into a suspicious website.
